gsr,heart_rate,temperature,emotion,median gsr,median heart_rate,median temp,date_time,id_user,gender
186,104,30.4,Neutral,191,104,30.5,29/03/2022 15:04,10,M
241,83,28.3,Neutral,217,83,28.4,06/04/2022 14:18,12,M
215,103,30.3,Neutral,191,104,30.5,29/03/2022 14:59,10,M
21,119,26.3,Neutral,8,119,27.7,29/03/2022 14:58,9,M
82,97,28.2,Neutral,84,90,28.3,05/04/2022 15:30,5,M
100,96,28.7,Neutral,80,93,28.9,29/03/2022 14:02,6,M
241,83,28.3,Neutral,217,83,28.4,06/04/2022 12:40,12,M
114,86,28.8,Neutral,84,90,28.3,05/04/2022 15:27,5,M
215,105,30.3,Neutral,191,104,30.5,05/04/2022 13:47,10,M
241,83,28.3,Neutral,217,83,28.4,06/04/2022 14:18,12,M
70,95,28.1,Neutral,84,90,28.3,06/04/2022 14:17,5,M
208,103,30.4,Neutral,191,104,30.5,06/04/2022 12:40,10,M
196,83,28,Neutral,217,83,28.4,06/04/2022 12:39,12,M
89,96,28.3,Neutral,84,90,28.3,05/04/2022 13:34,5,M
245,83,28.2,Neutral,217,83,28.4,06/04/2022 12:40,12,M
63,77,28.8,Neutral,84,90,28.3,05/04/2022 13:40,5,M
175,113,28.9,Neutral,191,104,30.5,29/03/2022 14:58,10,M
212,83,27.8,Neutral,217,83,28.4,05/04/2022 13:42,12,M
183,119,30.2,Neutral,183.5,119,30.2,29/03/2022 14:58,8,M
241,83,28.3,Neutral,217,83,28.4,06/04/2022 12:40,12,M
195,108,30.7,Neutral,191,104,30.5,05/04/2022 13:39,10,M
249,83,29.1,Neutral,217,83,28.4,05/04/2022 13:43,12,M
10,119,27.9,Neutral,8,119,27.7,06/04/2022 13:30,9,M
195,119,30.5,Neutral,183.5,119,30.2,29/03/2022 14:59,8,M
90,95,28.1,Neutral,84,90,28.3,05/04/2022 13:37,5,M
201,103,30.6,Neutral,191,104,30.5,29/03/2022 15:03,10,M
184,83,27.9,Neutral,217,83,28.4,05/04/2022 13:43,12,M
73,97,28.1,Neutral,84,90,28.3,06/04/2022 14:24,5,M
74,93,28.3,Neutral,84,90,28.3,29/03/2022 14:02,5,M
249,83,29.1,Neutral,217,83,28.4,05/04/2022 13:42,12,M
81,90,28.2,Neutral,84,90,28.3,05/04/2022 15:30,5,M
107,93,28.7,Neutral,80,93,28.9,05/04/2022 15:33,6,M
112,85,28.8,Neutral,84,90,28.3,05/04/2022 13:35,5,M
218,83,28.2,Neutral,217,83,28.4,06/04/2022 14:22,12,M
224,83,28.4,Neutral,217,83,28.4,06/04/2022 13:27,12,M
248,83,28.5,Neutral,217,83,28.4,05/04/2022 13:39,12,M
216,83,28.7,Neutral,217,83,28.4,05/04/2022 13:38,12,M
214,83,27.8,Neutral,217,83,28.4,06/04/2022 14:15,12,M
251,83,28.5,Neutral,217,83,28.4,06/04/2022 13:27,12,M
196,83,28,Neutral,217,83,28.4,05/04/2022 15:34,12,M
4,119,28.2,Neutral,8,119,27.7,05/04/2022 13:58,9,M
99,85,28.8,Neutral,84,90,28.3,06/04/2022 14:14,5,M
219,104,30.3,Neutral,191,104,30.5,29/03/2022 15:03,10,M
103,96,28.7,Neutral,80,93,28.9,29/03/2022 14:59,6,M
10,119,27.9,Neutral,8,119,27.7,06/04/2022 13:30,9,M
