,animal,session_clear,heart_rate,gsr,delay,stamp,change,start,session,end,session_se,calculated,hr_ref,hr_dif
0,Hermit,2,87.16666667,111.6111111,1,,0.111111111,0,2,0,2,0,88.53571429,-1.369047619
1,Hermit,3,74.38333333,239.3583333,1,,0.016666667,0,3,0,3,0,75.34090909,-0.957575758
2,Hermit,7,99.97394816,231.8056417,1.272727273,,0.015151515,0,7,0,7,0.214285714,101.9469697,-1.973021536
3,Hermit,9,69.76785714,0,1.037037037,,0.037037037,0,9,0,9,0.035714286,69.49621212,0.271645022
4,Hermit,11,89.27173913,0.049450549,1.108433735,,0.012048193,0,11,0,11,0.097826087,85.96969697,3.302042161
5,Hermit,15,89.80759215,79.12002841,1.164179104,,0.014925373,0,15,0,15,0.141025641,87.20370377,2.603888382
6,Hermit,16,75.80952381,6.154761905,1.024390244,,0.024390244,0,16,0,16,0.023809524,72.56060606,3.248917749
7,Hermit,17,105.4261571,0.007758621,1.062043796,,0.003649635,0,17,0,17,0.058419244,110.2287234,-4.802566295
8,Hermit,18,97.14930556,0.222222222,1.021276596,,0.021276596,0,18,0,18,0.020833333,93.5959596,3.55334596
9,Hermit,19,82.55263158,154.0133635,1.085714286,,0.014285714,0,19,0,19,0.078947368,80.60984848,1.942783094
10,Hermit,22,87.89130431,-0.409090952,1.703703704,,0.037037037,0,22,0,22,0.413043478,86.76515152,1.126152791
11,Hermit,24,94.38983041,140.3686441,1.638888889,,0.027777778,0,24,0,24,0.389830508,98.08601409,-3.696183682
12,Hermit,25,108.6241883,1.103084416,1.571428571,,0.020408163,0,25,0,25,0.363636364,116.5,-7.875811705
13,Hermit,30,93.86847245,285.2319712,1.310344828,,0.068965517,0,30,0,30,0.236842105,94.40116279,-0.53269034
14,Hermit,38,115.3076923,,1.269230769,,0.038461538,0,38,0,38,0,113.9704545,1.337237762
15,Hermit,39,91.52884615,,1.173076923,,0.009615385,0,39,0,39,0,86.87234043,4.656505728
16,Hermit,40,99.38666667,,1.253333333,,0.013333333,0,40,0,40,0,98.98076923,0.405897436
17,Hermit,41,106.8333333,,2.166666667,,0.166666667,0,41,0,41,0,100.6538462,6.179487179
18,Hermit,43,86.97,-0.108108108,1.388888889,,0.027777778,0,43,0,43,0.28,80.97272727,5.997272727
19,Hermit,44,78.6511344,-0.09375,1.483870968,,0.032258065,0,44,0,44,0.279069767,81.82007576,-3.168941355
20,Hermit,45,83.94117647,,1,,0.058823529,0,45,0,45,0,75.81818182,8.122994652
21,Hermit,46,103.2564103,76.90625,1,,0.025641026,0,46,0,46,0,101.4867424,1.769667832
22,Hermit,49,79.625,0.2,1,,0.125,0,49,0,49,0,68.71212121,10.91287879
23,Hermit,50,82.80246914,39.5,1,,0.012345679,0,50,0,50,0,83.33143939,-0.528970258
24,Hermit,51,88.25,1,1,,0.0625,0,51,0,51,0,85.86363636,2.386363636
25,Hermit,52,92.43181731,3.970588235,1.62962963,,0.037037037,0,52,0,52,0.386363636,101.23168,-8.799862667
